TIMESTAMP, LEFT SETPOINT, RIGHT SETPOINT, LEFT VEL, RIGHT VEL, LEFT RAW VEL, RIGHT RAW VEL, LEFT CURR, LEFT RAW CURR, RIGHT CURR, RIGHT RAW CURR, VOLT, TEMP
2019-03-02 19:13:19.174,50,50,4.314375,3.94875,59,54,0.78201368523949,509,2.44379276637341,531,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.241,50,50,4.3875,3.94875,60,54,2.78592375366568,535,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.310,50,50,4.24125,4.021875,58,55,0.928641251221892,511,1.56402737047898,519,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.381,50,50,4.314375,4.168125,59,57,2.1505376344086,527,0.342130987292276,503,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.480,50,50,4.168125,4.095,57,56,0.635386119257088,507,2.00391006842619,525,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.549,50,50,4.021875,4.095,55,56,0.928641251221892,511,1.85728250244379,523,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.617,50,50,4.021875,4.095,55,56,1.85728250244379,523,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.689,50,50,4.021875,4.021875,55,55,0.928641251221892,511,2.1505376344086,527,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.754,50,50,4.095,4.021875,56,55,0.342130987292276,503,2.29716520039101,529,25.4874158099965,25.6995329638364
2019-03-02 19:13:19.861,50,50,4.24125,3.94875,58,54,0.928641251221892,511,2.1505376344086,527,25.4874158099965,25.6995329638364
2019-03-02 19:13:19.926,50,50,4.314375,3.875625,59,53,1.85728250244379,523,2.1505376344086,527,25.4874158099965,25.6995329638364
2019-03-02 19:13:19.996,50,50,4.314375,3.8025,59,52,0.488758553274679,505,2.29716520039101,529,25.4874158099965,25.6995329638364
2019-03-02 19:13:20.063,50,50,4.24125,3.94875,58,54,3.0791788856305,539,0.928641251221892,511,25.4874158099965,25.6995329638364
2019-03-02 19:13:20.137,50,50,4.24125,4.24125,58,58,0.78201368523949,509,1.56402737047898,519,25.4874158099965,25.6995329638364
2019-03-02 19:13:20.204,50,50,4.021875,3.875625,55,53,0.928641251221892,511,1.85728250244379,523,25.4874158099965,25.6995329638364
2019-03-02 19:13:20.306,50,50,4.168125,4.168125,57,57,1.85728250244379,523,2.1505376344086,527,25.4874158099965,25.6995329638364
2019-03-02 19:13:20.371,50,50,4.095,4.021875,56,55,0.928641251221892,511,1.85728250244379,523,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.440,50,50,4.021875,4.095,55,56,0.928641251221892,511,1.85728250244379,523,25.3456221198157,25.6995329638364
